query,name,site,type,subtypes,category,phone,full_address,borough,street,city,postal_code,state,us_state,country,country_code,latitude,longitude,time_zone,plus_code,area_service,rating,reviews,reviews_link,reviews_tags,reviews_per_score,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,photo,street_view,located_in,working_hours,working_hours_old_format,other_hours,popular_times,business_status,about,range,posts,logo,description,typical_time_spent,verified,owner_id,owner_title,owner_link,reservation_links,booking_appointment_link,menu_link,order_links,location_link,place_id,google_id,cid,reviews_id,located_google_id,email_1,email_2
"law firm, Wilmington, CA, US",Law Office of Olivia Garibay Pettenó,http://www.pettenolaw.com/,Attorney,"Attorney, Criminal justice attorney, Divorce lawyer, Family law attorney, Immigration attorney, Notary public",Lawyer,+1 562-246-6577,"808 N Avalon Blvd, Wilmington, CA 90744",Wilmington,808 N Avalon Blvd,Wilmington,90744.0,California,California,United States of America,US,33.780285,-118.2622816,America/Los_Angeles,,False,4.4,10.0,"https://search.google.com/local/reviews?placeid=ChIJx5dsO9c13YAR9Cxa8Wf0ylE&q=law+firm,+Wilmington,+CA,+US&authuser=0&hl=en&gl=US",,,1.0,0.0,1.0,0.0,8.0,9.0,https://lh5.googleusercontent.com/p/AF1QipMH5lTP3qMTi23wb4B-gYzXCSwwsNydNz4HUEFh=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMH5lTP3qMTi23wb4B-gYzXCSwwsNydNz4HUEFh=w1600-h1000-k-no,,"{""Sunday"": ""Closed"", ""Monday"": ""1-7PM"", ""Tuesday"": ""1-7PM"", ""Wednesday"": ""1-7PM"", ""Thursday"": ""1-7PM"", ""Friday"": ""1-7PM"", ""Saturday"": ""Closed""}",Sunday:Closed|Monday:1-7PM|Tuesday:1-7PM|Wednesday:1-7PM|Thursday:1-7PM|Friday:1-7PM|Saturday:Closed,,,OPERATIONAL,"{""Amenities"": {""Restroom"": true}}",,,https://lh3.googleusercontent.com/-o2q1P41bXNo/AAAAAAAAAAI/AAAAAAAAAAA/4U9nWkEMZnA/s44-p-k-no-ns-nd/photo.jpg,,,True,108675695491506087261,Law Office of Olivia Garibay Pettenó,https://www.google.com/maps/contrib/108675695491506087261,,,,,"https://www.google.com/maps/place/Law+Office+of+Olivia+Garibay+Petten%C3%B3/@33.780285,-118.2622816,14z/data=!4m8!1m2!2m1!1sLaw+Office+of+Olivia+Garibay+Petten%C3%B3!3m4!1s0x80dd35d73b6c97c7:0x51caf467f15a2cf4!8m2!3d33.780285!4d-118.2622816",ChIJx5dsO9c13YAR9Cxa8Wf0ylE,0x80dd35d73b6c97c7:0x51caf467f15a2cf4,5893791789635742964,5.893791789635743e+18,,filler@godaddy.com,pettenolaw@gmail.com
"law firm, Wilmington, CA, US",Law Offices of Attorney Patrick Muldoon,http://attorneypatrickmuldoon.com/,Legal services,"Legal services, General practice attorney, Attorney",Legal services,+1 310-233-3950,"309 Broad Ave, Wilmington, CA 90744",Wilmington,309 Broad Ave,Wilmington,90744.0,California,California,United States of America,US,33.7731332,-118.2608887,America/Los_Angeles,,False,5.0,5.0,"https://search.google.com/local/reviews?placeid=ChIJvUCzD3k23YAR-C7QRaslHjg&q=law+firm,+Wilmington,+CA,+US&authuser=0&hl=en&gl=US",,,0.0,0.0,0.0,0.0,5.0,1.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ls-kqwpYgTegdrSvtmAwgA&cb_client=search.gws-prod.gps&w=800&h=500&yaw=262.80414&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ls-kqwpYgTegdrSvtmAwgA&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=262.80414&pitch=0&thumbfov=100,,"{""Sunday"": ""Closed"", ""Monday"": ""9AM-5PM"", ""Tuesday"": ""9AM-5PM"", ""Wednesday"": ""9AM-5PM"", ""Thursday"": ""9AM-5PM"", ""Friday"": ""9AM-5PM"", ""Saturday"": ""Closed""}",Sunday:Closed|Monday:9AM-5PM|Tuesday:9AM-5PM|Wednesday:9AM-5PM|Thursday:9AM-5PM|Friday:9AM-5PM|Saturday:Closed,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,,,,,False,,Law Offices of Attorney Patrick Muldoon,,,,,,"https://www.google.com/maps/place/Law+Offices+of+Attorney+Patrick+Muldoon/@33.7731332,-118.2608887,14z/data=!4m8!1m2!2m1!1sLaw+Offices+of+Attorney+Patrick+Muldoon!3m4!1s0x80dd36790fb340bd:0x381e25ab45d02ef8!8m2!3d33.7731332!4d-118.2608887",ChIJvUCzD3k23YAR-C7QRaslHjg,0x80dd36790fb340bd:0x381e25ab45d02ef8,4043710932966190840,4.043710932966191e+18,,,
"law firm, Wilmington, CA, US",Stronger Faster Foreclosure Attorney Wilmington,,Foreclosure service,Foreclosure service,Foreclosure service,+1 323-688-5894,"846 N Watson Ave #621, Wilmington, CA 90744",Wilmington,846 N Watson Ave #621,Wilmington,90744.0,California,California,United States of America,US,33.7821084,-118.2470432,America/Los_Angeles,,False,5.0,6.0,"https://search.google.com/local/reviews?placeid=ChIJ08SRz3813YARG2fw5aGjdd0&q=law+firm,+Wilmington,+CA,+US&authuser=0&hl=en&gl=US",,,0.0,0.0,0.0,0.0,6.0,1.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=S1Im-urNMx0NcbJOUfWvPA&cb_client=search.gws-prod.gps&w=800&h=500&yaw=126.12608&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=S1Im-urNMx0NcbJOUfWvPA&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=126.12608&pitch=0&thumbfov=100,,"{""Sunday"": ""8AM-6PM"", ""Monday"": ""8AM-6PM"", ""Tuesday"": ""8AM-6PM"", ""Wednesday"": ""8AM-6PM"", ""Thursday"": ""8AM-6PM"", ""Friday"": ""8AM-6PM"", ""Saturday"": ""8AM-6PM""}",Sunday:8AM-6PM|Monday:8AM-6PM|Tuesday:8AM-6PM|Wednesday:8AM-6PM|Thursday:8AM-6PM|Friday:8AM-6PM|Saturday:8AM-6PM,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,,,,,False,,Stronger Faster Foreclosure Attorney Wilmington,,,,,,"https://www.google.com/maps/place/Stronger+Faster+Foreclosure+Attorney+Wilmington/@33.7821084,-118.2470432,14z/data=!4m8!1m2!2m1!1sStronger+Faster+Foreclosure+Attorney+Wilmington!3m4!1s0x80dd357fcf91c4d3:0xdd75a3a1e5f0671b!8m2!3d33.7821084!4d-118.2470432",ChIJ08SRz3813YARG2fw5aGjdd0,0x80dd357fcf91c4d3:0xdd75a3a1e5f0671b,15957840770400020251,-2.4889e+18,,,
"law firm, Wilmington, CA, US",Mich Services,,Accountant,Accountant,Accountant,+1 310-830-8992,"920 N Avalon Blvd, Wilmington, CA 90744",Wilmington,920 N Avalon Blvd,Wilmington,90744.0,California,California,United States of America,US,33.7818931,-118.262421,America/Los_Angeles,,False,3.7,68.0,"https://search.google.com/local/reviews?placeid=ChIJJzaLOtc13YARfPKph6Z_VAo&q=law+firm,+Wilmington,+CA,+US&authuser=0&hl=en&gl=US",,,19.0,2.0,2.0,1.0,44.0,1.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4dUAJhtTghVEhxTP1L6ViQ&cb_client=search.gws-prod.gps&w=800&h=500&yaw=78.709526&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4dUAJhtTghVEhxTP1L6ViQ&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=78.709526&pitch=0&thumbfov=100,,"{""Sunday"": ""10AM-3PM"", ""Monday"": ""10AM-8PM"", ""Tuesday"": ""10AM-8PM"", ""Wednesday"": ""10AM-8PM"", ""Thursday"": ""10AM-8PM"", ""Friday"": ""10AM-8PM"", ""Saturday"": ""10AM-3PM""}",Sunday:10AM-3PM|Monday:10AM-8PM|Tuesday:10AM-8PM|Wednesday:10AM-8PM|Thursday:10AM-8PM|Friday:10AM-8PM|Saturday:10AM-3PM,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}, ""Amenities"": {""Restroom"": true}}",,,,,,False,,Mich Services,,,,,,"https://www.google.com/maps/place/Mich+Services/@33.7818931,-118.26242099999999,14z/data=!4m8!1m2!2m1!1sMich+Services!3m4!1s0x80dd35d73a8b3627:0xa547fa687a9f27c!8m2!3d33.7818931!4d-118.26242099999999",ChIJJzaLOtc13YARfPKph6Z_VAo,0x80dd35d73a8b3627:0xa547fa687a9f27c,744360191640334972,7.443601916403348e+17,,,
"law firm, Wilmington, CA, US",Pratt Law Corporation,https://www.prattlawcorp.com/?utm_source=gmb,Law firm,"Law firm, Employment attorney, Insurance attorney, Personal injury attorney",Law firm,+1 562-498-4600,"444 W Ocean Blvd Ste 1000, Long Beach, CA 90802",Downtown,444 W Ocean Blvd Ste 1000,Long Beach,90802.0,California,California,United States of America,US,33.7668057,-118.1976972,America/Los_Angeles,,False,4.7,164.0,"https://search.google.com/local/reviews?placeid=ChIJZ-oHxcAx3YARLlHx7Kktv2M&q=law+firm,+Wilmington,+CA,+US&authuser=0&hl=en&gl=US",,,8.0,1.0,0.0,8.0,147.0,35.0,https://lh5.googleusercontent.com/p/AF1QipNRHr7h4qm6cr9tWTlUubeMiUpliYiGQDjiCGQu=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNRHr7h4qm6cr9tWTlUubeMiUpliYiGQDjiCGQu=w1600-h1000-k-no,,"{""Sunday"": ""Closed"", ""Monday"": ""9AM-5:30PM"", ""Tuesday"": ""9AM-5:30PM"", ""Wednesday"": ""9AM-5:30PM"", ""Thursday"": ""9AM-5:30PM"", ""Friday"": ""9AM-5:30PM"", ""Saturday"": ""Closed""}",Sunday:Closed|Monday:9AM-5:30PM|Tuesday:9AM-5:30PM|Wednesday:9AM-5:30PM|Thursday:9AM-5:30PM|Friday:9AM-5:30PM|Saturday:Closed,,,OPERATIONAL,"{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""Onsite services"": true, ""Online appointments"": false}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Planning"": {""Appointment required"": true}, ""Other"": {""LGBTQ+ friendly"": true, ""Identifies as women-owned"": true}}",,,https://lh4.googleusercontent.com/-Fcf0VJIqk_o/AAAAAAAAAAI/AAAAAAAAAAA/mqTnwztfHwM/s44-p-k-no-ns-nd/photo.jpg,,,True,101746573054255238514,Pratt Law Corporation,https://www.google.com/maps/contrib/101746573054255238514,,,,,"https://www.google.com/maps/place/Pratt+Law+Corporation/@33.7668057,-118.1976972,14z/data=!4m8!1m2!2m1!1sPratt+Law+Corporation!3m4!1s0x80dd31c0c507ea67:0x63bf2da9ecf1512e!8m2!3d33.7668057!4d-118.1976972",ChIJZ-oHxcAx3YARLlHx7Kktv2M,0x80dd31c0c507ea67:0x63bf2da9ecf1512e,7187513738154561838,7.187513738154562e+18,,,
"law firm, Wilmington, CA, US",Meissner Law Firm,http://www.meissnerlawfirm.com/,Personal injury attorney,Personal injury attorney,Personal injury attorney,+1 310-833-2335,"831 W 9th St, San Pedro, CA 90731",San Pedro,831 W 9th St,San Pedro,90731.0,California,California,United States of America,US,33.7358447,-118.2952511,America/Los_Angeles,,False,4.9,29.0,"https://search.google.com/local/reviews?placeid=ChIJzzCCgoM33YAR-EK5o81prK4&q=law+firm,+Wilmington,+CA,+US&authuser=0&hl=en&gl=US",,,1.0,0.0,0.0,0.0,28.0,15.0,https://lh5.googleusercontent.com/p/AF1QipPwkw7LaepD4jyCJF9-CKIHu8gkcKjGSH2LpL_4=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPwkw7LaepD4jyCJF9-CKIHu8gkcKjGSH2LpL_4=w1600-h1000-k-no,,"{""Sunday"": ""Closed"", ""Monday"": ""8:30AM-5:30PM"", ""Tuesday"": ""8:30AM-5:30PM"", ""Wednesday"": ""8:30AM-5:30PM"", ""Thursday"": ""8:30AM-5:30PM"", ""Friday"": ""8:30AM-5:30PM"", ""Saturday"": ""Closed""}",Sunday:Closed|Monday:8:30AM-5:30PM|Tuesday:8:30AM-5:30PM|Wednesday:8:30AM-5:30PM|Thursday:8:30AM-5:30PM|Friday:8:30AM-5:30PM|Saturday:Closed,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}, ""Amenities"": {""Restroom"": true}, ""Planning"": {""Appointments recommended"": true}}",,,https://lh5.googleusercontent.com/-IsArzwkKKKM/AAAAAAAAAAI/AAAAAAAAAAA/_yP2lzf7SAQ/s44-p-k-no-ns-nd/photo.jpg,,,True,109632244895873263985,Meissner Law Firm,https://www.google.com/maps/contrib/109632244895873263985,,,,,"https://www.google.com/maps/place/Meissner+Law+Firm/@33.7358447,-118.2952511,14z/data=!4m8!1m2!2m1!1sMeissner+Law+Firm!3m4!1s0x80dd3783828230cf:0xaeac69cda3b942f8!8m2!3d33.7358447!4d-118.2952511",ChIJzzCCgoM33YAR-EK5o81prK4,0x80dd3783828230cf:0xaeac69cda3b942f8,12586551390529733368,-5.86019e+18,,,
"law firm, Wilmington, CA, US",Law Office of Edward J. O’Reilly,http://www.oreillylawassociates.com/,Law firm,"Law firm, Criminal justice attorney, Employment attorney, Family law attorney, General practice attorney, Labor relations attorney, Civil law attorney, Legal services, Personal injury attorney, Real estate attorney",Civil law attorney,+1 562-433-7363,"1 World Trade Center #800, Long Beach, CA 90831",Downtown,1 World Trade Center #800,Long Beach,90831.0,California,California,United States of America,US,33.7678523,-118.1999401,America/Los_Angeles,,False,5.0,98.0,"https://search.google.com/local/reviews?placeid=ChIJb81ngqsx3YARCh9snuPRy0s&q=law+firm,+Wilmington,+CA,+US&authuser=0&hl=en&gl=US",,,0.0,0.0,0.0,0.0,98.0,125.0,https://lh5.googleusercontent.com/p/AF1QipNwNpaVRoZrmf0m8N9db_kZgjhUP2-Bo2CQRefq=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNwNpaVRoZrmf0m8N9db_kZgjhUP2-Bo2CQRefq=w1600-h1000-k-no,,"{""Sunday"": ""9AM-5PM"", ""Monday"": ""9AM-5PM"", ""Tuesday"": ""9AM-5PM"", ""Wednesday"": ""9AM-5PM"", ""Thursday"": ""9AM-5PM"", ""Friday"": ""9AM-5PM"", ""Saturday"": ""9AM-5PM""}",Sunday:9AM-5PM|Monday:9AM-5PM|Tuesday:9AM-5PM|Wednesday:9AM-5PM|Thursday:9AM-5PM|Friday:9AM-5PM|Saturday:9AM-5PM,,,OPERATIONAL,"{""Service options"": {""Online appointments"": true, ""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible elevator"": true, ""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Amenities"": {""Restroom"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}}",,,https://lh5.googleusercontent.com/-4CpGLbAtIhk/AAAAAAAAAAI/AAAAAAAAAAA/MOwikDZyYGQ/s44-p-k-no-ns-nd/photo.jpg,,,True,108846514388265801397,Law Office of Edward J. O’Reilly,https://www.google.com/maps/contrib/108846514388265801397,,http://www.oreilly.law/,,http://www.oreilly.law/,"https://www.google.com/maps/place/Law+Office+of+Edward+J.+O%E2%80%99Reilly/@33.7678523,-118.19994009999999,14z/data=!4m8!1m2!2m1!1sLaw+Office+of+Edward+J.+O%E2%80%99Reilly!3m4!1s0x80dd31ab8267cd6f:0x4bcbd1e39e6c1f0a!8m2!3d33.7678523!4d-118.19994009999999",ChIJb81ngqsx3YARCh9snuPRy0s,0x80dd31ab8267cd6f:0x4bcbd1e39e6c1f0a,5461689748662525706,5.461689748662526e+18,,,
"law firm, Wilmington, CA, US","Frost Law Firm, PC",http://www.frostlawfirm.com/,Personal injury attorney,"Personal injury attorney, Attorney, Medical lawyer, Trial attorney",Personal injury attorney,+1 866-581-0139,"273 W 7th St, San Pedro, CA 90731",San Pedro,273 W 7th St,San Pedro,90731.0,California,California,United States of America,US,33.7375577,-118.2830207,America/Los_Angeles,,False,5.0,35.0,"https://search.google.com/local/reviews?placeid=ChIJORMrNu9L3YARj1Su7nBYK-c&q=law+firm,+Wilmington,+CA,+US&authuser=0&hl=en&gl=US",,,0.0,0.0,0.0,0.0,35.0,12.0,https://lh5.googleusercontent.com/p/AF1QipNeTxHR8wwXNvUgJ1t-bLTV7RM1netnYK-x7VdG=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNeTxHR8wwXNvUgJ1t-bLTV7RM1netnYK-x7VdG=w1600-h1000-k-no,,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",Sunday:Open 24 hours|Monday:Open 24 hours|Tuesday:Open 24 hours|Wednesday:Open 24 hours|Thursday:Open 24 hours|Friday:Open 24 hours|Saturday:Open 24 hours,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}, ""Amenities"": {""Restroom"": true}, ""Planning"": {""Appointments recommended"": true}}",,,https://lh3.googleusercontent.com/-q3eLDKCOqRQ/AAAAAAAAAAI/AAAAAAAAAAA/qdGyLCSIObA/s44-p-k-no-ns-nd/photo.jpg,,,True,105537487312389871126,"Frost Law Firm, PC",https://www.google.com/maps/contrib/105537487312389871126,,,,,"https://www.google.com/maps/place/Frost+Law+Firm%2C+PC/@33.737557699999996,-118.2830207,14z/data=!4m8!1m2!2m1!1sFrost+Law+Firm%2C+PC!3m4!1s0x80dd4bef362b1339:0xe72b5870eeae548f!8m2!3d33.737557699999996!4d-118.2830207",ChIJORMrNu9L3YARj1Su7nBYK-c,0x80dd4bef362b1339:0xe72b5870eeae548f,16657504888823895183,-1.78924e+18,,,
"law firm, Wilmington, CA, US","Hitzke & Ferran, LLP",https://hitzkelaw.com/,Law firm,"Law firm, Divorce lawyer, Employment attorney, Estate planning attorney, Family law attorney, General practice attorney, Attorney, Legal services, Personal injury attorney",Lawyer,+1 562-437-2807,"100 Oceangate #1100, Long Beach, CA 90802",Downtown,100 Oceangate #1100,Long Beach,90802.0,California,California,United States of America,US,33.766815,-118.198934,America/Los_Angeles,,False,4.9,29.0,"https://search.google.com/local/reviews?placeid=ChIJIfsyujYx3YARAQCeOcVv6D0&q=law+firm,+Wilmington,+CA,+US&authuser=0&hl=en&gl=US",,,1.0,0.0,0.0,0.0,28.0,10.0,https://lh5.googleusercontent.com/p/AF1QipPM2EWTIKtREv4g7vdn5aNMwPFLCNsTx4CpPFk9=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPM2EWTIKtREv4g7vdn5aNMwPFLCNsTx4CpPFk9=w1600-h1000-k-no,,"{""Sunday"": ""Closed"", ""Monday"": ""8AM-5PM"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""8AM-5PM"", ""Thursday"": ""8AM-5PM"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""Closed""}",Sunday:Closed|Monday:8AM-5PM|Tuesday:8AM-5PM|Wednesday:8AM-5PM|Thursday:8AM-5PM|Friday:8AM-5PM|Saturday:Closed,,,OPERATIONAL,"{""Service options"": {""Online appointments"": true, ""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}, ""Amenities"": {""Restroom"": true}, ""Planning"": {""Appointments recommended"": true}}",,,https://lh3.googleusercontent.com/-nzzcTKE2W8g/AAAAAAAAAAI/AAAAAAAAAAA/Xc3U2qBqwqI/s44-p-k-no-ns-nd/photo.jpg,,,True,107726368064326364338,"Hitzke & Ferran, LLP",https://www.google.com/maps/contrib/107726368064326364338,,https://hitzkelaw.com/contact-us/,,https://hitzkelaw.com/contact-us/,"https://www.google.com/maps/place/Hitzke+%26+Ferran%2C+LLP/@33.766815,-118.198934,14z/data=!4m8!1m2!2m1!1sHitzke+%26+Ferran%2C+LLP!3m4!1s0x80dd3136ba32fb21:0x3de86fc5399e0001!8m2!3d33.766815!4d-118.198934",ChIJIfsyujYx3YARAQCeOcVv6D0,0x80dd3136ba32fb21:0x3de86fc5399e0001,4460938323776372737,4.4609383237763727e+18,,,
"law firm, Wilmington, CA, US",Law Offices of David Chesley,http://www.chesleylawyers.com/,Law firm,"Law firm, Criminal justice attorney, Attorney, Legal services, Trial attorney",Criminal justice attorney,+1 310-815-2800,"222 W 6th St #400, San Pedro, CA 90731",San Pedro,222 W 6th St #400,San Pedro,90731.0,California,California,United States of America,US,33.7389709,-118.2818895,America/Los_Angeles,,False,5.0,20.0,"https://search.google.com/local/reviews?placeid=ChIJo8GoKWk33YARRXaGLlvHkAo&q=law+firm,+Wilmington,+CA,+US&authuser=0&hl=en&gl=US",,,0.0,0.0,0.0,0.0,20.0,33.0,https://lh5.googleusercontent.com/p/AF1QipPl0P_xqwZK54hY3N5e8PB6imWySNSlugWTt6dY=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPl0P_xqwZK54hY3N5e8PB6imWySNSlugWTt6dY=w1600-h1000-k-no,,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",Sunday:Open 24 hours|Monday:Open 24 hours|Tuesday:Open 24 hours|Wednesday:Open 24 hours|Thursday:Open 24 hours|Friday:Open 24 hours|Saturday:Open 24 hours,,,OPERATIONAL,"{""From the business"": {""Identifies as Asian-owned"": true, ""Identifies as Black-owned"": true, ""Identifies as Latino-owned"": true, ""Identifies as LGBTQ+ owned"": true, ""Identifies as veteran-owned"": true, ""Identifies as women-owned"": true}, ""Service options"": {""Online appointments"": true, ""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible elevator"": true, ""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Amenities"": {""Gender-neutral restroom"": true, ""Restroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Planning"": {""Appointments recommended"": true}, ""Other"": {""Identifies as Black-owned"": true, ""LGBTQ+ friendly"": true, ""Identifies as veteran-owned"": true, ""Identifies as women-owned"": true, ""Identifies as Latino-owned"": true, ""Identifies as Asian-owned"": true, ""Identifies as LGBTQ+ owned"": true}}",,,https://lh5.googleusercontent.com/-PnXMsMUzJ9k/AAAAAAAAAAI/AAAAAAAAAAA/kLJvzsIi09w/s44-p-k-no-ns-nd/photo.jpg,,,True,113934207560992864629,Law Offices of David Chesley,https://www.google.com/maps/contrib/113934207560992864629,,,,,"https://www.google.com/maps/place/Law+Offices+of+David+Chesley/@33.7389709,-118.28188949999999,14z/data=!4m8!1m2!2m1!1sLaw+Offices+of+David+Chesley!3m4!1s0x80dd376929a8c1a3:0xa90c75b2e867645!8m2!3d33.7389709!4d-118.28188949999999",ChIJo8GoKWk33YARRXaGLlvHkAo,0x80dd376929a8c1a3:0xa90c75b2e867645,761327531462129221,7.613275314621293e+17,,,
